18.8131 48.722
21.8434 52.2364
25.8838 50.3195
25.1263 47.1246
58.4596 42.0128
57.197 48.0831
64.5202 47.4441
65.7828 43.9297
72.601 49.361
70.0758 53.5144
28.4091 46.4856
28.9141 55.1118
17.5505 57.6677
16.7929 52.5559
15.7828 45.8466
17.0455 40.7348
23.3586 37.2204
64.0152 44.5687
65.0253 57.9872
61.4899 54.4728
23.8636 54.7923
64.2677 47.7636
25.6313 56.3898
32.702 50.639
66.7929 48.4026
49.8737 55.1118
32.197 47.1246
23.3586 68.2109
51.8939 50.9585
64.5202 48.4026
63.2576 61.1821
42.0455 54.4728
32.4495 51.5974
24.6212 57.3482
36.7424 62.4601
70.0758 39.4569
63.2576 49.6805
59.2172 47.7636
50.1263 45.5272
32.4495 51.278
23.1061 42.3323
22.8535 51.5974
27.904 54.1534
36.9949 47.4441
46.3384 47.1246
63.2576 47.4441
64.2677 53.1949
56.1869 54.7923
50.1263 51.5974
43.0556 55.4313
31.9444 53.1949
24.3687 55.7508
23.8636 57.3482
27.1465 48.4026
27.6515 48.0831
65.0253 50.9585
64.5202 50.9585
28.4091 45.8466
26.3889 45.8466
38.5101 57.6677
63.2576 46.4856
63.2576 47.1246
26.1364 55.7508
63.5101 48.4026
24.8737 57.6677
59.4697 59.2652
23.3586 62.7796
59.9747 42.9712
58.9646 52.2364
22.601 46.8051
59.2172 55.7508
29.4192 59.5847
47.8535 54.4728
21.8434 48.0831
35.7323 55.4313
55.1768 52.5559
54.1667 47.7636
30.9343 63.099
54.1667 59.2652
43.0556 50.639
29.9242 50.3195
69.5707 46.1661
13.5101 51.278
61.2374 50.3195
34.2172 44.5687
56.4394 43.6102
39.0152 52.8754
32.702 58.9457
53.4091 55.7508
63.2576 41.6933
35.4798 50.639
73.8636 42.9712
45.0758 52.8754
41.0354 46.4856
68.0556 54.4728
34.7222 58.9457
21.0859 55.1118
61.9949 57.9872
27.399 42.0128
68.0556 51.278
30.9343 56.0703
15.7828 55.1118
70.3283 48.0831
