-17,-17,-8173.9976
-17,-15,-7277.0795
-17,-13,-6244.5959
-17,-11,-5596.7826
-17,-9,-4743.5647
-17,-7,-4278.0563
-17,-5,-3409.0671
-17,-3,-3596.1193
-17,-1,-2616.1243
-17,1,-2803.8062
-17,3,-2782.1286
-17,5,-2992.0065
-17,7,-2969.6366
-17,9,-3232.7404
-17,11,-4185.5484
-17,13,-4447.5262
-17,15,-5247.8977
-17,17,-6271.2101
-17,19,-7272.5288
-15,-17,-7682.0613
-15,-15,-6560.8669
-15,-13,-5215.1921
-15,-11,-5009.3797
-15,-9,-4134.8798
-15,-7,-3419.7994
-15,-5,-2904.6284
-15,-3,-2399.8613
-15,-1,-2243.5037
-15,1,-2224.2771
-15,3,-2273.6151
-15,5,-2104.3133
-15,7,-2693.2181
-15,9,-3178.8726
-15,11,-3695.825
-15,13,-3931.9596
-15,15,-4679.7952
-15,17,-5634.8825
-15,19,-6594.192
-13,-17,-7052.28
-13,-15,-5736.885
-13,-13,-4603.6041
-13,-11,-4072.7533
-13,-9,-3502.0935
-13,-7,-2854.6232
-13,-5,-2262.1009
-13,-3,-1996.929
-13,-1,-1852.6387
-13,1,-1593.9416
-13,3,-1803.9997
-13,5,-1750.503
-13,7,-2099.7503
-13,9,-2774.4915
-13,11,-2818.7336
-13,13,-3736.1871
-13,15,-4093.1178
-13,17,-5343.2768
-13,19,-6200.2701
-11,-17,-6413.2354
-11,-15,-5576.5589
-11,-13,-4447.9624
-11,-11,-3683.7113
-11,-9,-2630.0633
-11,-7,-2186.7022
-11,-5,-1850.027
-11,-3,-1181.9182
-11,-1,-836.0538
-11,1,-1304.3107
-11,3,-1167.6987
-11,5,-1493.9882
-11,7,-1662.7233
-11,9,-2272.1895
-11,11,-2472.6107
-11,13,-3278.1637
-11,15,-3739.8485
-11,17,-4558.4838
-11,19,-6041.2843
-9,-17,-5396.5701
-9,-15,-4546.2968
-9,-13,-3532.9898
-9,-11,-2552.4662
-9,-9,-1886.6505
-9,-7,-1667.4339
-9,-5,-1994.3608
-9,-3,-1312.7237
-9,-1,-757.7805
-9,1,-840.6747
-9,3,-1038.2338
-9,5,-1263.802
